"contract [L,U]",contracted width n(x),fixed width,qubits saved
"[0,5]",3,8,5
"[0,12]",4,8,4
"[0,63]",6,8,2
"[0,64]",7,8,1
"[0,200]",8,8,0
"[0,999]",10,8,-2
